material,method,hf_shots,run,relative_error
Hydrogel,Direct fine-tuning,0,6,0.39698204498135636
Hydrogel,Direct fine-tuning,0,7,0.37286395847183895
Hydrogel,Direct fine-tuning,0,8,0.3608809611368832
Hydrogel,Direct fine-tuning,0,9,0.3959489685746115
Hydrogel,Direct fine-tuning,0,10,0.4137989126122936
Hydrogel,Direct fine-tuning,0,11,0.3643054195227071
Hydrogel,Direct fine-tuning,0,12,0.37694757792532513
Hydrogel,Direct fine-tuning,0,13,0.3900722020872345
Hydrogel,Direct fine-tuning,0,14,0.3948040229269457
Hydrogel,Direct fine-tuning,0,15,0.38802169020677213
Hydrogel,Direct fine-tuning,5,1,0.3042502095260009
Hydrogel,Direct fine-tuning,5,2,0.29962074631595564
Hydrogel,Direct fine-tuning,5,3,0.3145895530418361
Hydrogel,Direct fine-tuning,5,4,0.30444506283346506
Hydrogel,Direct fine-tuning,5,5,0.31077173863020585
Hydrogel,Direct fine-tuning,5,6,0.3113136509639482
Hydrogel,Direct fine-tuning,5,7,0.298772743823327
Hydrogel,Direct fine-tuning,5,8,0.3059431601620212
Hydrogel,Direct fine-tuning,5,9,0.30679431105514193
Hydrogel,Direct fine-tuning,5,10,0.30767688089403367
